#BLTrackFile VirtualDetector/det
#x y z Px Py Pz t PDGid EventID TrackID ParentID Weight
#mm mm mm MeV/c MeV/c MeV/c ns - - - - -
#BLTrackFile VirtualDetector/det
#x y z Px Py Pz t PDGid EventID TrackID ParentID Weight
#mm mm mm MeV/c MeV/c MeV/c ns - - - - -
#BLTrackFile VirtualDetector/det
#x y z Px Py Pz t PDGid EventID TrackID ParentID Weight
#mm mm mm MeV/c MeV/c MeV/c ns - - - - -
#BLTrackFile VirtualDetector/det
#x y z Px Py Pz t PDGid EventID TrackID ParentID Weight
#mm mm mm MeV/c MeV/c MeV/c ns - - - - -
#BLTrackFile VirtualDetector/det
#x y z Px Py Pz t PDGid EventID TrackID ParentID Weight
#mm mm mm MeV/c MeV/c MeV/c ns - - - - -
#BLTrackFile VirtualDetector/det
#x y z Px Py Pz t PDGid EventID TrackID ParentID Weight
#mm mm mm MeV/c MeV/c MeV/c ns - - - - -
#BLTrackFile VirtualDetector/det
#x y z Px Py Pz t PDGid EventID TrackID ParentID Weight
#mm mm mm MeV/c MeV/c MeV/c ns - - - - -
#BLTrackFile VirtualDetector/det
#x y z Px Py Pz t PDGid EventID TrackID ParentID Weight
#mm mm mm MeV/c MeV/c MeV/c ns - - - - -
#BLTrackFile VirtualDetector/det
#x y z Px Py Pz t PDGid EventID TrackID ParentID Weight
#mm mm mm MeV/c MeV/c MeV/c ns - - - - -
#BLTrackFile VirtualDetector/det
#x y z Px Py Pz t PDGid EventID TrackID ParentID Weight
#mm mm mm MeV/c MeV/c MeV/c ns - - - - -
#BLTrackFile VirtualDetector/det
#x y z Px Py Pz t PDGid EventID TrackID ParentID Weight
#mm mm mm MeV/c MeV/c MeV/c ns - - - - -
#BLTrackFile VirtualDetector/det
#x y z Px Py Pz t PDGid EventID TrackID ParentID Weight
#mm mm mm MeV/c MeV/c MeV/c ns - - - - -
#BLTrackFile VirtualDetector/det
#x y z Px Py Pz t PDGid EventID TrackID ParentID Weight
#mm mm mm MeV/c MeV/c MeV/c ns - - - - -
#BLTrackFile VirtualDetector/det
#x y z Px Py Pz t PDGid EventID TrackID ParentID Weight
#mm mm mm MeV/c MeV/c MeV/c ns - - - - -
#BLTrackFile VirtualDetector/det
#x y z Px Py Pz t PDGid EventID TrackID ParentID Weight
#mm mm mm MeV/c MeV/c MeV/c ns - - - - -
#BLTrackFile VirtualDetector/det
#x y z Px Py Pz t PDGid EventID TrackID ParentID Weight
#mm mm mm MeV/c MeV/c MeV/c ns - - - - -
#BLTrackFile VirtualDetector/det
#x y z Px Py Pz t PDGid EventID TrackID ParentID Weight
#mm mm mm MeV/c MeV/c MeV/c ns - - - - -
#BLTrackFile VirtualDetector/det
#x y z Px Py Pz t PDGid EventID TrackID ParentID Weight
#mm mm mm MeV/c MeV/c MeV/c ns - - - - -
#BLTrackFile VirtualDetector/det
#x y z Px Py Pz t PDGid EventID TrackID ParentID Weight
#mm mm mm MeV/c MeV/c MeV/c ns - - - - -
#BLTrackFile VirtualDetector/det
#x y z Px Py Pz t PDGid EventID TrackID ParentID Weight
#mm mm mm MeV/c MeV/c MeV/c ns - - - - -
#BLTrackFile VirtualDetector/det
#x y z Px Py Pz t PDGid EventID TrackID ParentID Weight
#mm mm mm MeV/c MeV/c MeV/c ns - - - - -
#BLTrackFile VirtualDetector/det
#x y z Px Py Pz t PDGid EventID TrackID ParentID Weight
#mm mm mm MeV/c MeV/c MeV/c ns - - - - -
#BLTrackFile VirtualDetector/det
#x y z Px Py Pz t PDGid EventID TrackID ParentID Weight
#mm mm mm MeV/c MeV/c MeV/c ns - - - - -
#BLTrackFile VirtualDetector/det
#x y z Px Py Pz t PDGid EventID TrackID ParentID Weight
#mm mm mm MeV/c MeV/c MeV/c ns - - - - -
#BLTrackFile VirtualDetector/det
#x y z Px Py Pz t PDGid EventID TrackID ParentID Weight
#mm mm mm MeV/c MeV/c MeV/c ns - - - - -
#BLTrackFile VirtualDetector/det
#x y z Px Py Pz t PDGid EventID TrackID ParentID Weight
#mm mm mm MeV/c MeV/c MeV/c ns - - - - -
#BLTrackFile VirtualDetector/det
#x y z Px Py Pz t PDGid EventID TrackID ParentID Weight
#mm mm mm MeV/c MeV/c MeV/c ns - - - - -
#BLTrackFile VirtualDetector/det
#x y z Px Py Pz t PDGid EventID TrackID ParentID Weight
#mm mm mm MeV/c MeV/c MeV/c ns - - - - -
#BLTrackFile VirtualDetector/det
#x y z Px Py Pz t PDGid EventID TrackID ParentID Weight
#mm mm mm MeV/c MeV/c MeV/c ns - - - - -
#BLTrackFile VirtualDetector/det
#x y z Px Py Pz t PDGid EventID TrackID ParentID Weight
#mm mm mm MeV/c MeV/c MeV/c ns - - - - -
#BLTrackFile VirtualDetector/det
#x y z Px Py Pz t PDGid EventID TrackID ParentID Weight
#mm mm mm MeV/c MeV/c MeV/c ns - - - - -
#BLTrackFile VirtualDetector/det
#x y z Px Py Pz t PDGid EventID TrackID ParentID Weight
#mm mm mm MeV/c MeV/c MeV/c ns - - - - -
#BLTrackFile VirtualDetector/det
#x y z Px Py Pz t PDGid EventID TrackID ParentID Weight
#mm mm mm MeV/c MeV/c MeV/c ns - - - - -
#BLTrackFile VirtualDetector/det
#x y z Px Py Pz t PDGid EventID TrackID ParentID Weight
#mm mm mm MeV/c MeV/c MeV/c ns - - - - -
#BLTrackFile VirtualDetector/det
#x y z Px Py Pz t PDGid EventID TrackID ParentID Weight
#mm mm mm MeV/c MeV/c MeV/c ns - - - - -
#BLTrackFile VirtualDetector/det
#x y z Px Py Pz t PDGid EventID TrackID ParentID Weight
#mm mm mm MeV/c MeV/c MeV/c ns - - - - -
#BLTrackFile VirtualDetector/det
#x y z Px Py Pz t PDGid EventID TrackID ParentID Weight
#mm mm mm MeV/c MeV/c MeV/c ns - - - - -
#BLTrackFile VirtualDetector/det
#x y z Px Py Pz t PDGid EventID TrackID ParentID Weight
#mm mm mm MeV/c MeV/c MeV/c ns - - - - -
#BLTrackFile VirtualDetector/det
#x y z Px Py Pz t PDGid EventID TrackID ParentID Weight
#mm mm mm MeV/c MeV/c MeV/c ns - - - - -
#BLTrackFile VirtualDetector/det
#x y z Px Py Pz t PDGid EventID TrackID ParentID Weight
#mm mm mm MeV/c MeV/c MeV/c ns - - - - -
#BLTrackFile VirtualDetector/det
#x y z Px Py Pz t PDGid EventID TrackID ParentID Weight
#mm mm mm MeV/c MeV/c MeV/c ns - - - - -
#BLTrackFile VirtualDetector/det
#x y z Px Py Pz t PDGid EventID TrackID ParentID Weight
#mm mm mm MeV/c MeV/c MeV/c ns - - - - -
#BLTrackFile VirtualDetector/det
#x y z Px Py Pz t PDGid EventID TrackID ParentID Weight
#mm mm mm MeV/c MeV/c MeV/c ns - - - - -
#BLTrackFile VirtualDetector/det
#x y z Px Py Pz t PDGid EventID TrackID ParentID Weight
#mm mm mm MeV/c MeV/c MeV/c ns - - - - -
-42.1392 34.9825 500 49.2348 35.2844 190.607 1.94943 -13 1 1 0 1
30.7648 -37.7063 1000 2.54683 -38.9132 196.161 3.90142 -13 1 1 0 1
101.91 -33.3166 1500 4.46255 63.1591 189.713 5.84166 -13 1 1 0 1
-2.40043 -28.9694 2000 -40.2896 -42.7685 191.174 7.80887 -13 1 1 0 1
-130.747 29.0845 2500 36.5558 93.5223 172.966 9.86274 -13 1 1 0 1
25.4139 -35.824 3000 21.8217 -72.6043 185.074 11.9545 -13 1 1 0 1
175.835 -9.09572 3500 -33.5259 118.149 157.85 14.0989 -13 1 1 0 1
-39.5628 -127.909 4000 -41.1158 -105.888 164.612 16.3992 -13 1 1 0 1
-127.881 54.0483 4000 105.936 -36.4043 -165.687 20.1119 -13 1 1 0 1
103.926 133.376 3500 -59.4991 103.698 -160.333 22.3935 -13 1 1 0 1
-18.3763 59.3161 3000 35.6774 -57.2495 -188.281 24.5086 -13 1 1 0 1
-43.466 -94.5162 2500 -84.9951 7.22947 -180.897 26.5478 -13 1 1 0 1
-63.2945 16.4492 2000 31.9767 8.67677 -197.236 28.5357 -13 1 1 0 1
-11.3565 34.2342 1500 0.51157 16.9624 -199.279 30.4358 -13 1 1 0 1
-21.0464 69.1231 1000 10.9226 18.7139 -198.823 32.3279 -13 1 1 0 1
71.9971 26.6051 500 -9.25825 -77.0152 -184.345 34.2935 -13 1 1 0 1
-61.0087 54.1062 0.0005 -20.0197 62.3682 -188.969 36.318 -13 1 1 0 1
13.6877 3.28264 500 -0.966546 -4.60899 199.945 1.88659 -13 2 1 0 1
6.4592 9.74323 1000 -2.60901 8.30754 199.81 3.77362 -13 2 1 0 1
-20.3247 12.8127 1500 -8.32454 -17.2971 199.077 5.6649 -13 2 1 0 1
2.47707 -6.45931 2000 11.6062 2.53238 199.647 7.557 -13 2 1 0 1
14.4585 -20.6633 2500 -10.3888 -8.63583 199.543 9.44633 -13 2 1 0 1
3.55379 -8.77054 3000 5.77405 8.63877 199.73 11.3352 -13 2 1 0 1
-1.78783 18.2183 3500 -16.7277 1.44385 199.294 13.2261 -13 2 1 0 1
-12.7674 -3.43068 4000 3.68459 -5.38015 199.894 15.1162 -13 2 1 0 1
-11.7013 -6.3335 4500 -0.369331 2.82192 199.98 17.0027 -13 2 1 0 1
-6.20611 -10.7528 5000 3.71376 -6.6797 199.854 18.8894 -13 2 1 0 1
19.2207 -8.75331 5500 4.79967 17.355 199.188 20.7801 -13 2 1 0 1
-5.7026 5.66887 6000 -10.7302 -3.61474 199.679 22.6716 -13 2 1 0 1
-17.0742 19.4357 6500 10.4932 9.15727 199.515 24.5609 -13 2 1 0 1
-4.93848 6.2034 7000 -4.98546 -10.2358 199.676 26.4502 -13 2 1 0 1
6.37161 -20.3828 7500 17.9133 2.69016 199.178 28.3418 -13 2 1 0 1
11.3462 4.76645 8000 -6.31641 4.52313 199.849 30.2325 -13 2 1 0 1
7.50865 11.1205 8500 2.97487 -0.559221 199.977 32.1192 -13 2 1 0 1
5.05219 12.2751 9000 -4.92161 4.1585 199.896 34.0058 -13 2 1 0 1
-17.5985 3.80609 9500 -0.454717 -16.6769 199.303 35.8958 -13 2 1 0 1
8.49388 -4.54044 10000 9.19445 4.67279 199.734 37.7866 -13 2 1 0 1
18.8318 -16.8029 10500 -9.81395 -9.23984 199.545 39.6755 -13 2 1 0 1
6.14883 -3.2194 11000 3.82438 11.2377 199.647 41.5648 -13 2 1 0 1
-10.6212 21.3293 11500 -18.026 -6.7349 199.072 43.4569 -13 2 1 0 1
-9.22125 -5.84947 12000 8.5747 -3.38878 199.787 45.3484 -13 2 1 0 1
-2.86664 -15.269 12500 -5.41395 -1.71841 199.919 47.2356 -13 2 1 0 1
-3.56352 -13.0609 13000 5.85441 -1.38151 199.91 49.1223 -13 2 1 0 1
14.9487 1.42774 13500 -3.96416 15.0117 199.396 51.0119 -13 2 1 0 1
-10.7908 3.1365 14000 -7.09636 -5.47876 199.799 52.9021 -13 2 1 0 1
-19.5018 13.1198 14500 8.51791 8.78699 199.625 54.7904 -13 2 1 0 1
-7.01725 0.0418287 15000 -2.4132 -11.5717 199.65 56.6794 -13 2 1 0 1
14.2502 -20.9765 15500 17.0483 10.3978 199.001 58.5717 -13 2 1 0 1
6.52619 6.59423 16000 -10.3187 2.04166 199.723 60.4637 -13 2 1 0 1
-1.96562 18.5075 16500 7.5303 3.8927 199.82 62.3517 -13 2 1 0 1
1.83036 13.0542 17000 -6.44454 -1.48926 199.891 64.2388 -13 2 1 0 1
-11.3929 -6.62895 17500 8.19812 -12.4309 199.445 66.1283 -13 2 1 0 1
12.4539 -1.479 18000 4.54353 5.99955 199.858 68.018 -13 2 1 0 1
19.0987 -8.52376 18500 -6.63585 -7.86969 199.735 69.9056 -13 2 1 0 1
7.47052 3.12777 19000 0.762871 11.2115 199.684 71.794 -13 2 1 0 1
-17.1358 19.1158 19500 -14.8874 -13.5953 198.981 73.6863 -13 2 1 0 1
-3.12922 -6.97757 20000 11.5126 -0.39553 199.668 75.5787 -13 2 1 0 1
7.39092 -20.7082 20500 -9.08943 -6.21513 199.697 77.4673 -13 2 1 0 1
0.245508 -12.807 21000 6.48522 4.43781 199.846 79.3551 -13 2 1 0 1
5.54036 11.182 21500 -13.5065 7.47294 199.403 81.245 -13 2 1 0 1
-22.2899 11.1114 500 11.5509 20.541 198.607 1.89593 -13 3 1 0 1
11.3309 0.0143019 1000 4.16951 -12.8489 199.543 3.79073 -13 3 1 0 1
30.623 -1.49046 1500 0.88435 15.3197 199.41 5.68072 -13 3 1 0 1
11.4689 -0.642216 2000 -5.20371 -12.2618 199.556 7.57069 -13 3 1 0 1
-22.6581 -11.365 2500 -12.2988 18.9339 198.722 9.46506 -13 3 1 0 1
-2.48528 14.7138 3000 10.0034 -1.38847 199.745 11.3585 -13 3 1 0 1
4.34907 19.4413 3500 -5.69297 1.67769 199.912 13.2457 -13 3 1 0 1
7.40767 13.4096 4000 9.26851 -2.60873 199.768 15.1328 -13 3 1 0 1
16.2497 -17.7962 4500 -17.8326 -12.8972 198.785 17.0259 -13 3 1 0 1
-11.5362 3.6804 5000 -0.923938 12.7384 199.592 18.9198 -13 3 1 0 1
-28.9767 7.58624 5500 -2.99557 -14.6961 199.437 20.8095 -13 3 1 0 1
-9.36127 4.67749 6000 7.8798 11.399 199.519 22.6995 -13 3 1 0 1
27.2876 6.38593 6500 7.23699 -22.5683 198.591 24.5946 -13 3 1 0 1
-0.698811 -13.6612 7000 -10.2542 4.94924 199.676 26.4888 -13 3 1 0 1
-12.415 -17.2888 7500 4.83442 -5.77368 199.858 28.3766 -13 3 1 0 1
-10.0469 -12.1232 8000 -7.07326 5.75645 199.792 30.2637 -13 3 1 0 1
-8.76712 19.5671 8500 19.8345 6.70482 198.901 32.1563 -13 3 1 0 1
