# AllTracks
#x y z Px Py Pz t PDGid EventID TrackID ParentID Weight Bx By Bz Ex Ey Ez
# Event -2 Track 1
0 0 0 0 0 200 0 -13 -2 1 0 1 -6.62154e-20 0.000319288 1.6808 0 0 0 
-6.09664e-10 2.57515e-12 0.0005 -4.78601e-08 3.01454e-14 200 1.88625e-06 -13 -2 1 0 1 1.70534e-12 0.000319288 1.6808 0 0 0 
-6.09849e-06 2.57619e-08 5.0005 -0.000492368 3.11628e-06 200 0.0188644 -13 -2 1 0 1 1.7329e-08 0.000337671 1.70947 0 0 0 
-2.48502e-05 2.11187e-07 10.0005 -0.00101243 1.2878e-05 200 0.037727 -13 -2 1 0 1 7.17147e-08 0.000356423 1.73813 0 0 0 
-5.69553e-05 7.30396e-07 15.0005 -0.00156071 2.99286e-05 200 0.0565895 -13 -2 1 0 1 1.66892e-07 0.000375541 1.7668 0 0 0 
-0.000103129 1.77403e-06 20.0005 -0.00213822 5.49513e-05 200 0.0754521 -13 -2 1 0 1 3.06809e-07 0.000395922 1.79669 0 0 0 
-0.000164121 3.55055e-06 25.0005 -0.00274633 8.86852e-05 200 0.0943146 -13 -2 1 0 1 4.95623e-07 0.0004168 1.82674 0 0 0 
-0.000240704 6.28728e-06 30.0005 -0.00338546 0.0001319 200 0.113177 -13 -2 1 0 1 7.37684e-07 0.000438049 1.8568 0 0 0 
-0.000333659 1.02313e-05 35.0005 -0.0040565 0.000185409 200 0.13204 -13 -2 1 0 1 1.03756e-06 0.000460549 1.88791 0 0 0 
-0.000443809 1.56509e-05 40.0005 -0.00476107 0.000250104 200 0.150902 -13 -2 1 0 1 1.40005e-06 0.000483716 1.91938 0 0 0 
-0.000571995 2.28373e-05 45.0005 -0.00549957 0.000326896 200 0.169765 -13 -2 1 0 1 1.83016e-06 0.00050725 1.95084 0 0 0 
-0.000719074 3.21045e-05 50.0005 -0.00627272 0.000416747 200 0.188627 -13 -2 1 0 1 2.33296e-06 0.000531992 1.98318 0 0 0 
-0.000885936 4.37922e-05 55.0005 -0.00708229 0.000520713 200 0.20749 -13 -2 1 0 1 2.91392e-06 0.0005576 2.01604 0 0 0 
-0.0010735 5.82667e-05 60.0005 -0.00792871 0.00063987 200 0.226352 -13 -2 1 0 1 3.57878e-06 0.000583571 2.0489 0 0 0 
-0.00128268 7.59216e-05 65.0005 -0.00881251 0.00077534 200 0.245215 -13 -2 1 0 1 4.33297e-06 0.000610655 2.08246 0 0 0 
-0.00151445 9.718e-05 70.0005 -0.00973556 0.000928362 200 0.264077 -13 -2 1 0 1 5.18236e-06 0.000638847 2.1167 0 0 0 
-0.00176979 0.000122496 75.0005 -0.0106983 0.00110019 200 0.28294 -13 -2 1 0 1 6.13379e-06 0.000667392 2.15095 0 0 0 
-0.0020497 0.000152357 80.0005 -0.0117011 0.00129213 200 0.301803 -13 -2 1 0 1 7.19281e-06 0.00069691 2.1857 0 0 0 
-0.0023552 0.000187283 85.0005 -0.0127458 0.00150561 200 0.320665 -13 -2 1 0 1 8.36502e-06 0.000727812 2.22129 0 0 0 
-0.00268734 0.000227829 90.0005 -0.0138329 0.00174208 200 0.339528 -13 -2 1 0 1 9.65897e-06 0.000759046 2.25689 0 0 0 
-0.00304719 0.000274591 95.0005 -0.0149624 0.00200303 200 0.35839 -13 -2 1 0 1 1.10804e-05 0.000791066 2.29281 0 0 0 
-0.00343583 0.000328199 100 -0.0161363 0.0022901 200 0.377253 -13 -2 1 0 1 1.26328e-05 0.000824778 2.3297 0 0 0 
-0.00385438 0.000389327 105 -0.017355 0.00260496 200 0.396115 -13 -2 1 0 1 1.43279e-05 0.000858795 2.36659 0 0 0 
-0.00430396 0.000458692 110 -0.0186184 0.00294929 200 0.414978 -13 -2 1 0 1 1.6172e-05 0.000893362 2.40364 0 0 0 
