#BLTrackFile VirtualDetector/det
#x y z Px Py Pz t PDGid EventID TrackID ParentID Weight
#mm mm mm MeV/c MeV/c MeV/c ns - - - - -
#BLTrackFile VirtualDetector/det
#x y z Px Py Pz t PDGid EventID TrackID ParentID Weight
#mm mm mm MeV/c MeV/c MeV/c ns - - - - -
#BLTrackFile VirtualDetector/det
#x y z Px Py Pz t PDGid EventID TrackID ParentID Weight
#mm mm mm MeV/c MeV/c MeV/c ns - - - - -
#BLTrackFile VirtualDetector/det
#x y z Px Py Pz t PDGid EventID TrackID ParentID Weight
#mm mm mm MeV/c MeV/c MeV/c ns - - - - -
#BLTrackFile VirtualDetector/det
#x y z Px Py Pz t PDGid EventID TrackID ParentID Weight
#mm mm mm MeV/c MeV/c MeV/c ns - - - - -
#BLTrackFile VirtualDetector/det
#x y z Px Py Pz t PDGid EventID TrackID ParentID Weight
#mm mm mm MeV/c MeV/c MeV/c ns - - - - -
#BLTrackFile VirtualDetector/det
#x y z Px Py Pz t PDGid EventID TrackID ParentID Weight
#mm mm mm MeV/c MeV/c MeV/c ns - - - - -
#BLTrackFile VirtualDetector/det
#x y z Px Py Pz t PDGid EventID TrackID ParentID Weight
#mm mm mm MeV/c MeV/c MeV/c ns - - - - -
#BLTrackFile VirtualDetector/det
#x y z Px Py Pz t PDGid EventID TrackID ParentID Weight
#mm mm mm MeV/c MeV/c MeV/c ns - - - - -
#BLTrackFile VirtualDetector/det
#x y z Px Py Pz t PDGid EventID TrackID ParentID Weight
#mm mm mm MeV/c MeV/c MeV/c ns - - - - -
#BLTrackFile VirtualDetector/det
#x y z Px Py Pz t PDGid EventID TrackID ParentID Weight
#mm mm mm MeV/c MeV/c MeV/c ns - - - - -
#BLTrackFile VirtualDetector/det
#x y z Px Py Pz t PDGid EventID TrackID ParentID Weight
#mm mm mm MeV/c MeV/c MeV/c ns - - - - -
#BLTrackFile VirtualDetector/det
#x y z Px Py Pz t PDGid EventID TrackID ParentID Weight
#mm mm mm MeV/c MeV/c MeV/c ns - - - - -
#BLTrackFile VirtualDetector/det
#x y z Px Py Pz t PDGid EventID TrackID ParentID Weight
#mm mm mm MeV/c MeV/c MeV/c ns - - - - -
#BLTrackFile VirtualDetector/det
#x y z Px Py Pz t PDGid EventID TrackID ParentID Weight
#mm mm mm MeV/c MeV/c MeV/c ns - - - - -
#BLTrackFile VirtualDetector/det
#x y z Px Py Pz t PDGid EventID TrackID ParentID Weight
#mm mm mm MeV/c MeV/c MeV/c ns - - - - -
#BLTrackFile VirtualDetector/det
#x y z Px Py Pz t PDGid EventID TrackID ParentID Weight
#mm mm mm MeV/c MeV/c MeV/c ns - - - - -
#BLTrackFile VirtualDetector/det
#x y z Px Py Pz t PDGid EventID TrackID ParentID Weight
#mm mm mm MeV/c MeV/c MeV/c ns - - - - -
#BLTrackFile VirtualDetector/det
#x y z Px Py Pz t PDGid EventID TrackID ParentID Weight
#mm mm mm MeV/c MeV/c MeV/c ns - - - - -
#BLTrackFile VirtualDetector/det
#x y z Px Py Pz t PDGid EventID TrackID ParentID Weight
#mm mm mm MeV/c MeV/c MeV/c ns - - - - -
#BLTrackFile VirtualDetector/det
#x y z Px Py Pz t PDGid EventID TrackID ParentID Weight
#mm mm mm MeV/c MeV/c MeV/c ns - - - - -
#BLTrackFile VirtualDetector/det
#x y z Px Py Pz t PDGid EventID TrackID ParentID Weight
#mm mm mm MeV/c MeV/c MeV/c ns - - - - -
#BLTrackFile VirtualDetector/det
#x y z Px Py Pz t PDGid EventID TrackID ParentID Weight
#mm mm mm MeV/c MeV/c MeV/c ns - - - - -
#BLTrackFile VirtualDetector/det
#x y z Px Py Pz t PDGid EventID TrackID ParentID Weight
#mm mm mm MeV/c MeV/c MeV/c ns - - - - -
#BLTrackFile VirtualDetector/det
#x y z Px Py Pz t PDGid EventID TrackID ParentID Weight
#mm mm mm MeV/c MeV/c MeV/c ns - - - - -
#BLTrackFile VirtualDetector/det
#x y z Px Py Pz t PDGid EventID TrackID ParentID Weight
#mm mm mm MeV/c MeV/c MeV/c ns - - - - -
#BLTrackFile VirtualDetector/det
#x y z Px Py Pz t PDGid EventID TrackID ParentID Weight
#mm mm mm MeV/c MeV/c MeV/c ns - - - - -
#BLTrackFile VirtualDetector/det
#x y z Px Py Pz t PDGid EventID TrackID ParentID Weight
#mm mm mm MeV/c MeV/c MeV/c ns - - - - -
#BLTrackFile VirtualDetector/det
#x y z Px Py Pz t PDGid EventID TrackID ParentID Weight
#mm mm mm MeV/c MeV/c MeV/c ns - - - - -
#BLTrackFile VirtualDetector/det
#x y z Px Py Pz t PDGid EventID TrackID ParentID Weight
#mm mm mm MeV/c MeV/c MeV/c ns - - - - -
#BLTrackFile VirtualDetector/det
#x y z Px Py Pz t PDGid EventID TrackID ParentID Weight
#mm mm mm MeV/c MeV/c MeV/c ns - - - - -
#BLTrackFile VirtualDetector/det
#x y z Px Py Pz t PDGid EventID TrackID ParentID Weight
#mm mm mm MeV/c MeV/c MeV/c ns - - - - -
#BLTrackFile VirtualDetector/det
#x y z Px Py Pz t PDGid EventID TrackID ParentID Weight
#mm mm mm MeV/c MeV/c MeV/c ns - - - - -
#BLTrackFile VirtualDetector/det
#x y z Px Py Pz t PDGid EventID TrackID ParentID Weight
#mm mm mm MeV/c MeV/c MeV/c ns - - - - -
#BLTrackFile VirtualDetector/det
#x y z Px Py Pz t PDGid EventID TrackID ParentID Weight
#mm mm mm MeV/c MeV/c MeV/c ns - - - - -
#BLTrackFile VirtualDetector/det
#x y z Px Py Pz t PDGid EventID TrackID ParentID Weight
#mm mm mm MeV/c MeV/c MeV/c ns - - - - -
#BLTrackFile VirtualDetector/det
#x y z Px Py Pz t PDGid EventID TrackID ParentID Weight
#mm mm mm MeV/c MeV/c MeV/c ns - - - - -
#BLTrackFile VirtualDetector/det
#x y z Px Py Pz t PDGid EventID TrackID ParentID Weight
#mm mm mm MeV/c MeV/c MeV/c ns - - - - -
#BLTrackFile VirtualDetector/det
#x y z Px Py Pz t PDGid EventID TrackID ParentID Weight
#mm mm mm MeV/c MeV/c MeV/c ns - - - - -
#BLTrackFile VirtualDetector/det
#x y z Px Py Pz t PDGid EventID TrackID ParentID Weight
#mm mm mm MeV/c MeV/c MeV/c ns - - - - -
#BLTrackFile VirtualDetector/det
#x y z Px Py Pz t PDGid EventID TrackID ParentID Weight
#mm mm mm MeV/c MeV/c MeV/c ns - - - - -
#BLTrackFile VirtualDetector/det
#x y z Px Py Pz t PDGid EventID TrackID ParentID Weight
#mm mm mm MeV/c MeV/c MeV/c ns - - - - -
38.945 -76.568 500 0.828123 -23.1028 198.659 1.89536 -13 1 1 0 1
-10.3763 -52.107 1000 23.1592 43.8179 193.762 3.81797 -13 1 1 0 1
38.2714 -114.009 1500 -33.5329 -31.7182 194.601 5.76759 -13 1 1 0 1
-5.81723 -33.2568 2000 71.1034 16.4515 186.209 7.75649 -13 1 1 0 1
-17.4362 -130.698 2500 -49.8856 14.1804 193.159 9.75612 -13 1 1 0 1
11.8104 -42.2473 3000 48.4796 -42.4686 189.331 11.7392 -13 1 1 0 1
-47.2624 -87.6748 3500 -9.45725 35.5733 196.584 13.6969 -13 1 1 0 1
0.931349 -62.1997 4000 -3.52299 -30.6579 197.605 15.6138 -13 1 1 0 1
-22.4172 -62.4367 4500 12.9208 4.41306 199.533 17.5113 -13 1 1 0 1
-23.4937 -60.6217 5000 -3.21674 16.4023 199.3 19.401 -13 1 1 0 1
1.62009 -83.7147 5500 -9.36955 -25.8791 198.097 21.2999 -13 1 1 0 1
-34.1664 -39.5274 6000 45.0463 28.6705 192.74 23.2301 -13 1 1 0 1
-24.4367 -120.64 6500 -47.5409 -7.76184 194.112 25.1884 -13 1 1 0 1
-16.5962 -27.8151 7000 67.6645 -28.1298 186.092 27.1815 -13 1 1 0 1
-80.0999 -99.1269 7500 -29.7301 40.2647 193.636 29.1783 -13 1 1 0 1
-9.98758 -47.4843 8000 12.109 -57.3668 191.213 31.148 -13 1 1 0 1
-74.8356 -50.8943 8500 12.8788 29.0369 197.461 33.0901 -13 1 1 0 1
-31.8842 -55.6679 9000 -17.1622 -14.986 198.698 34.996 -13 1 1 0 1
-41.4134 -50.1293 9500 8.81455 -8.84998 199.61 36.8879 -13 1 1 0 1
-50.2439 -39.2446 10000 14.6136 19.977 198.462 38.7809 -13 1 1 0 1
-39.3529 -83.943 10500 -28.6257 -16.4909 197.253 40.6892 -13 1 1 0 1
-44.1996 -16.7995 11000 59.8444 -5.72043 190.751 42.6351 -13 1 1 0 1
-87.8681 -93.7687 11500 -43.5344 25.5585 193.524 44.6081 -13 1 1 0 1
-24.249 -22.0488 12000 35.2908 -63.9007 186.202 46.6052 -13 1 1 0 1
-114.419 -40.5929 12500 2.65604 47.3441 194.297 48.5963 -13 1 1 0 1
-34.7613 -40.5599 13000 -22.6855 -46.3022 193.239 50.5507 -13 1 1 0 1
-80.6581 -12.066 13500 23.6225 11.1501 198.287 52.4772 -13 1 1 0 1
-56.9512 -31.9658 14000 -14.6845 2.53915 199.444 54.3742 -13 1 1 0 1
-57.7359 -34.255 14500 -4.50453 -13.8695 199.468 56.2636 -13 1 1 0 1
-61.0718 -7.83456 15000 32.3854 7.01235 197.236 58.1633 -13 1 1 0 1
-81.5192 -61.506 15500 -37.6497 6.06704 196.331 60.0836 -13 1 1 0 1
-42.0309 4.37084 16000 48.1342 -44.8443 188.871 62.0455 -13 1 1 0 1
-127.524 -34.3488 16500 -18.3998 48.5766 193.137 64.0313 -13 1 1 0 1
-32.5892 -13.2459 17000 -10.0586 -70.9705 186.714 66.0286 -13 1 1 0 1
-113.898 21.7451 17500 28.6568 34.1984 194.96 68.0119 -13 1 1 0 1
-52.7487 -19.0033 18000 -39.7153 -22.5923 194.711 69.9542 -13 1 1 0 1
-74.4539 22.176 18500 21.1055 -3.52391 198.852 71.8702 -13 1 1 0 1
-64.5909 0.711798 19000 -5.67921 7.35614 199.784 73.7625 -13 1 1 0 1
-71.2845 -7.11027 19500 -13.765 -7.29357 199.392 75.6512 -13 1 1 0 1
-60.9964 23.8853 20000 33.7823 -7.9876 196.964 77.5531 -13 1 1 0 1
-102.368 -47.4854 20500 -44.2013 -16.3648 194.367 79.4835 -13 1 1 0 1
23.6063 -33.0935 500 -26.6329 4.00919 198.178 1.91383 -13 2 1 0 1
27.5184 4.79761 1000 22.5924 -16.31 198.049 3.81841 -13 2 1 0 1
5.49524 -10.5166 1500 -3.91419 19.4263 199.016 5.71764 -13 2 1 0 1
27.7243 -11.0666 2000 -12.9292 -18.8428 198.69 7.61386 -13 2 1 0 1
19.3647 13.6113 2500 21.3688 5.55686 198.778 9.51161 -13 2 1 0 1
14.0409 -19.6519 3000 -29.8103 14.2326 197.253 11.4161 -13 2 1 0 1
49.9753 6.97567 3500 17.4074 -24.7721 197.695 13.3276 -13 2 1 0 1
1.5353 -10.5639 4000 -2.19765 43.5296 195.193 15.249 -13 2 1 0 1
55.334 -28.8443 4500 -15.0543 -31.1314 196.988 17.1751 -13 2 1 0 1
7.70172 3.0829 5000 36.3455 25.5922 194.998 19.1022 -13 2 1 0 1
23.7321 -47.7034 5500 -31.2908 -1.80423 197.529 21.0257 -13 2 1 0 1
22.8448 -0.606499 6000 31.362 -15.3143 196.931 22.9398 -13 2 1 0 1
-1.63028 -27.3895 6500 -9.66491 21.1826 198.64 24.8466 -13 2 1 0 1
24.507 -17.1276 7000 -6.42433 -22.9436 198.576 26.7457 -13 2 1 0 1
9.36767 -0.747305 7500 17.8714 8.82652 199.004 28.6425 -13 2 1 0 1
10.2071 -26.1756 8000 -25.7314 9.53 198.109 30.5414 -13 2 1 0 1
38.9583 -4.87905 8500 15.5473 -21.6619 198.215 32.4454 -13 2 1 0 1
-3.37661 -17.2402 9000 -0.0327303 39.6588 196.029 34.3593 -13 2 1 0 1
44.8407 -38.9325 9500 -16.0793 -29.3815 197.176 36.2802 -13 2 1 0 1
1.48438 -2.7089 10000 38.9804 23.2695 194.78 38.2071 -13 2 1 0 1
12.7635 -58.1292 10500 -33.5381 -0.233412 197.168 40.134 -13 2 1 0 1
16.5857 -5.26087 11000 35.0147 -18.8803 196.004 42.055 -13 2 1 0 1
-14.5172 -36.832 11500 -11.7906 24.0237 198.202 43.9692 -13 2 1 0 1
18.0398 -21.4443 12000 -3.70366 -27.3169 198.091 45.8734 -13 2 1 0 1
-4.19708 -8.75729 12500 16.1899 11.6696 199.002 47.7724 -13 2 1 0 1
3.30057 -29.747 13000 -23.2071 5.03796 198.585 49.6691 -13 2 1 0 1
24.4586 -11.6091 13500 14.0737 -18.4239 198.652 51.5681 -13 2 1 0 1
-10.4718 -20.4618 14000 1.3376 34.7176 196.959 53.4747 -13 2 1 0 1
30.3857 -43.4886 14500 -16.3652 -26.6307 197.542 55.3886 -13 2 1 0 1
-6.58616 -5.36065 15000 39.7111 19.8233 195.013 57.3119 -13 2 1 0 1
-1.13163 -62.4079 15500 -34.5478 1.49916 196.988 59.2389 -13 2 1 0 1
8.35015 -6.33657 16000 37.342 -22.6123 195.178 61.1651 -13 2 1 0 1
