# AllTracks
#x y z Px Py Pz t PDGid EventID TrackID ParentID Weight Bx By Bz Ex Ey Ez
# Event -2 Track 1
0 0 0 0 0 160 0 -13 -2 1 0 1 -2.9407e-20 7.17733e-05 1.98729 0 0 0 
-1.72654e-06 1.07491e-08 5 -0.000111961 1.04215e-06 160 0.0199866 -13 -2 1 0 1 5.37254e-09 7.76405e-05 2.01868 0 0 0 
-7.0898e-06 8.85788e-08 10 -0.000232776 4.33538e-06 160 0.0399732 -13 -2 1 0 1 2.23989e-08 8.36428e-05 2.05007 0 0 0 
-1.63688e-05 3.07861e-07 15 -0.000362596 1.01395e-05 160 0.0599598 -13 -2 1 0 1 5.24932e-08 8.97744e-05 2.08145 0 0 0 
-2.98489e-05 7.51316e-07 20 -0.000501738 1.87307e-05 160 0.0799464 -13 -2 1 0 1 9.71597e-08 9.63047e-05 2.11415 0 0 0 
-4.78289e-05 1.51067e-06 25 -0.000650614 3.0408e-05 160 0.099933 -13 -2 1 0 1 1.57993e-07 0.000103004 2.14703 0 0 0 
-7.06151e-05 2.68722e-06 30 -0.000809356 4.54845e-05 160 0.11992 -13 -2 1 0 1 2.36669e-07 0.000109837 2.17991 0 0 0 
-9.85187e-05 4.39229e-06 35 -0.000978223 6.42914e-05 160 0.139906 -13 -2 1 0 1 3.34961e-07 0.000117071 2.21393 0 0 0 
-0.000131865 6.74804e-06 40 -0.0011577 8.71896e-05 160 0.159893 -13 -2 1 0 1 4.54739e-07 0.000124522 2.24832 0 0 0 
-0.000170986 9.88813e-06 45 -0.00134789 0.000114552 160 0.179879 -13 -2 1 0 1 5.9795e-07 0.000132108 2.28272 0 0 0 
-0.000216221 1.39581e-05 50 -0.001549 0.00014677 160 0.199866 -13 -2 1 0 1 7.66614e-07 0.000140081 2.31806 0 0 0 
-0.000267918 1.91163e-05 55 -0.00176153 0.000184273 160 0.219853 -13 -2 1 0 1 9.62873e-07 0.000148337 2.35397 0 0 0 
-0.000326437 2.55347e-05 60 -0.00198558 0.000227499 160 0.239839 -13 -2 1 0 1 1.18899e-06 0.000156722 2.38988 0 0 0 
-0.000392138 3.33994e-05 65 -0.00222128 0.000276908 160 0.259826 -13 -2 1 0 1 1.44715e-06 0.000165468 2.42654 0 0 0 
-0.000465394 4.29111e-05 70 -0.00246914 0.000333001 160 0.279812 -13 -2 1 0 1 1.73975e-06 0.000174568 2.46395 0 0 0 
-0.000546586 5.42868e-05 75 -0.00272924 0.000396289 160 0.299799 -13 -2 1 0 1 2.06939e-06 0.000183797 2.50136 0 0 0 
-0.000636099 6.77596e-05 80 -0.00300162 0.000467299 160 0.319786 -13 -2 1 0 1 2.43839e-06 0.000193345 2.53932 0 0 0 
-0.000734321 8.35795e-05 85 -0.00328677 0.000546612 160 0.339772 -13 -2 1 0 1 2.84916e-06 0.00020333 2.57821 0 0 0 
-0.000841656 0.000102015 90 -0.00358475 0.000634814 160 0.359759 -13 -2 1 0 1 3.30485e-06 0.000213438 2.61709 0 0 0 
-0.000958501 0.000123354 95 -0.00389548 0.000732506 160 0.379745 -13 -2 1 0 1 3.80792e-06 0.000223801 2.65634 0 0 0 
-0.00108526 0.000147903 100 -0.00421941 0.000840343 160 0.399732 -13 -2 1 0 1 4.36013e-06 0.000234704 2.69665 0 0 0 
-0.00122235 0.000175988 105 -0.00455658 0.000958994 160 0.419719 -13 -2 1 0 1 4.96571e-06 0.000245712 2.73696 0 0 0 
-0.00137018 0.000207959 110 -0.00490679 0.00108913 160 0.439705 -13 -2 1 0 1 5.62723e-06 0.000256905 2.77745 0 0 0 
-0.00152917 0.000244186 115 -0.00527034 0.00123148 160 0.459692 -13 -2 1 0 1 6.34486e-06 0.000268737 2.81912 0 0 0 
-0.00169972 0.000285062 120 -0.00564729 0.00138679 160 0.479678 -13 -2 1 0 1 7.12441e-06 0.000280667 2.86079 0 0 0 
-0.00188226 0.000331003 125 -0.0060373 0.0015558 160 0.499665 -13 -2 1 0 1 7.96919e-06 0.000292685 2.90247 0 0 0 
-0.00207719 0.00038245 130 -0.00644048 0.0017393 160 0.519652 -13 -2 1 0 1 8.87559e-06 0.000305449 2.94541 0 0 0 
-0.00228493 0.000439869 135 -0.00685688 0.00193811 160 0.539638 -13 -2 1 0 1 9.85241e-06 0.000318293 2.98835 0 0 0 
-0.00250588 0.00050375 140 -0.00728601 0.00215304 160 0.559625 -13 -2 1 0 1 1.0903e-05 0.000331209 3.0313 0 0 0 
-0.00274043 0.00057461 145 -0.00772774 0.00238492 160 0.579611 -13 -2 1 0 1 1.20208e-05 0.000344805 3.07525 0 0 0 
-0.00298899 0.000652993 150 -0.00818208 0.00263464 160 0.599598 -13 -2 1 0 1 1.32157e-05 0.00035854 3.11935 0 0 0 
-0.00325194 0.00073947 155 -0.0086484 0.00290305 160 0.619585 -13 -2 1 0 1 1.4492e-05 0.000372334 3.16345 0 0 0 
-0.00352963 0.000834637 160 -0.00912627 0.00319101 160 0.639571 -13 -2 1 0 1 1.584e-05 0.000386714 3.20831 0 0 0 
-0.00382245 0.000939121 165 -0.00961566 0.00349945 160 0.659558 -13 -2 1 0 1 1.7269e-05 0.000401307 3.25343 0 0 0 
-0.00413073 0.00105358 170 -0.0101157 0.00382924 160 0.679544 -13 -2 1 0 1 1.87859e-05 0.000415932 3.29854 0 0 0 
-0.00445479 0.00117868 175 -0.0106258 0.00418127 160 0.699531 -13 -2 1 0 1 2.03777e-05 0.000431035 3.34419 0 0 0 
-0.00479494 0.00131515 180 -0.0111457 0.00455645 160 0.719518 -13 -2 1 0 1 2.20503e-05 0.000446419 3.39015 0 0 0 
-0.00515148 0.00146371 185 -0.0116744 0.00495565 160 0.739504 -13 -2 1 0 1 2.3815e-05 0.000461813 3.43612 0 0 0 
-0.00552467 0.00162513 190 -0.0122109 0.00537975 160 0.759491 -13 -2 1 0 1 2.56563e-05 0.000477562 3.48241 0 0 0 
-0.00591474 0.00180021 195 -0.0127548 0.00582961 160 0.779477 -13 -2 1 0 1 2.75723e-05 0.000493656 3.52902 0 0 0 
-0.00632191 0.00198976 200 -0.0133049 0.00630608 160 0.799464 -13 -2 1 0 1 2.9582e-05 0.000509727 3.57564 0 0 0 
-0.00674635 0.00219463 205 -0.01386 0.00680995 160 0.819451 -13 -2 1 0 1 3.16687e-05 0.000526028 3.62242 0 0 0 
-0.0071882 0.00241568 210 -0.0144194 0.007342 160 0.839437 -13 -2 1 0 1 3.38162e-05 0.000542726 3.66948 0 0 0 
-0.00764759 0.0026538 215 -0.0149817 0.00790298 160 0.859424 -13 -2 1 0 1 3.60557e-05 0.000559361 3.71653 0 0 0 
-0.00812457 0.00290992 220 -0.0155454 0.00849359 160 0.87941 -13 -2 1 0 1 3.83711e-05 0.000576104 3.76363 0 0 0 
-0.00861918 0.00318497 225 -0.0161096 0.00911446 160 0.899397 -13 -2 1 0 1 4.07246e-05 0.000593267 3.81088 0 0 0 
-0.00913141 0.0034799 230 -0.0166726 0.00976618 160 0.919384 -13 -2 1 0 1 4.31632e-05 0.000610342 3.85812 0 0 0 
-0.00966119 0.00379568 235 -0.0172327 0.0104493 160 0.93937 -13 -2 1 0 1 4.56761e-05 0.000627401 3.90535 0 0 0 
-0.0102084 0.00413331 240 -0.0177886 0.0111642 160 0.959357 -13 -2 1 0 1 4.81931e-05 0.000644886 3.95252 0 0 0 
-0.0107729 0.00449378 245 -0.0183386 0.0119113 160 0.979343 -13 -2 1 0 1 5.07838e-05 0.000662252 3.99969 0 0 0 
