# fieldmap
#x y z t Bx By Bz Ex Ey Ez
-520 -520 -100 0 0.0987172 0.0987172 -0.220901 0 0 0 
-520 -520 -90 0 0.0910263 0.0910263 -0.229541 0 0 0 
-520 -520 -80 0 0.0827441 0.0827441 -0.237646 0 0 0 
-520 -520 -70 0 0.0738843 0.0738843 -0.245109 0 0 0 
-520 -520 -60 0 0.0644234 0.0644234 -0.251739 0 0 0 
-520 -520 -50 0 0.0544949 0.0544949 -0.257555 0 0 0 
-520 -520 -40 0 0.0441548 0.0441548 -0.262483 0 0 0 
-520 -520 -30 0 0.0334389 0.0334389 -0.266357 0 0 0 
-520 -520 -20 0 0.0224426 0.0224426 -0.269137 0 0 0 
-520 -520 -10 0 0.0112692 0.0112692 -0.270861 0 0 0 
-520 -520 0 0 0 0 -0.271504 0 0 0 
-520 -520 10 0 -0.0112692 -0.0112692 -0.270861 0 0 0 
-520 -520 20 0 -0.0224426 -0.0224426 -0.269137 0 0 0 
-520 -520 30 0 -0.0334389 -0.0334389 -0.266357 0 0 0 
-520 -520 40 0 -0.0441548 -0.0441548 -0.262483 0 0 0 
-520 -520 50 0 -0.0544949 -0.0544949 -0.257555 0 0 0 
-520 -520 60 0 -0.0644234 -0.0644234 -0.251739 0 0 0 
-520 -520 70 0 -0.0738843 -0.0738843 -0.245109 0 0 0 
-520 -520 80 0 -0.0827441 -0.0827441 -0.237646 0 0 0 
-520 -520 90 0 -0.0910263 -0.0910263 -0.229541 0 0 0 
-520 -520 100 0 -0.0987172 -0.0987172 -0.220901 0 0 0 
-520 -510 -100 0 0.10531 0.103285 -0.228384 0 0 0 
-520 -510 -90 0 0.0972045 0.0953351 -0.237685 0 0 0 
-520 -510 -80 0 0.088445 0.0867441 -0.246426 0 0 0 
-520 -510 -70 0 0.0790446 0.0775245 -0.254489 0 0 0 
-520 -510 -60 0 0.0689755 0.0676491 -0.261664 0 0 0 
-520 -510 -50 0 0.0583848 0.057262 -0.267966 0 0 0 
-520 -510 -40 0 0.0473341 0.0464238 -0.273314 0 0 0 
-520 -510 -30 0 0.0358625 0.0351729 -0.277521 0 0 0 
-520 -510 -20 0 0.0240767 0.0236137 -0.280543 0 0 0 
-520 -510 -10 0 0.0120922 0.0118596 -0.282417 0 0 0 
-520 -510 0 0 0 0 -0.283116 0 0 0 
-520 -510 10 0 -0.0120922 -0.0118596 -0.282417 0 0 0 
-520 -510 20 0 -0.0240767 -0.0236137 -0.280543 0 0 0 
-520 -510 30 0 -0.0358625 -0.0351729 -0.277521 0 0 0 
-520 -510 40 0 -0.0473341 -0.0464238 -0.273314 0 0 0 
-520 -510 50 0 -0.0583848 -0.057262 -0.267966 0 0 0 
-520 -510 60 0 -0.0689755 -0.0676491 -0.261664 0 0 0 
-520 -510 70 0 -0.0790446 -0.0775245 -0.254489 0 0 0 
-520 -510 80 0 -0.088445 -0.0867441 -0.246426 0 0 0 
-520 -510 90 0 -0.0972045 -0.0953351 -0.237685 0 0 0 
-520 -510 100 0 -0.10531 -0.103285 -0.228384 0 0 0 
-520 -500 -100 0 0.112377 0.108055 -0.236094 0 0 0 
-520 -500 -90 0 0.103839 0.0998454 -0.24611 0 0 0 
-520 -500 -80 0 0.0945775 0.0909399 -0.255542 0 0 0 
-520 -500 -70 0 0.0846043 0.0813503 -0.264258 0 0 0 
-520 -500 -60 0 0.0738866 0.0710448 -0.272029 0 0 0 
-520 -500 -50 0 0.0625864 0.0601792 -0.278864 0 0 0 
-520 -500 -40 0 0.0507716 0.0488189 -0.284671 0 0 0 
-520 -500 -30 0 0.0384852 0.037005 -0.289244 0 0 0 
-520 -500 -20 0 0.025846 0.0248519 -0.292532 0 0 0 
-520 -500 -10 0 0.0129835 0.0124841 -0.294572 0 0 0 
-520 -500 0 0 0 0 -0.295333 0 0 0 
-520 -500 10 0 -0.0129835 -0.0124841 -0.294572 0 0 0 
-520 -500 20 0 -0.025846 -0.0248519 -0.292532 0 0 0 
-520 -500 30 0 -0.0384852 -0.037005 -0.289244 0 0 0 
-520 -500 40 0 -0.0507716 -0.0488189 -0.284671 0 0 0 
-520 -500 50 0 -0.0625864 -0.0601792 -0.278864 0 0 0 
-520 -500 60 0 -0.0738866 -0.0710448 -0.272029 0 0 0 
-520 -500 70 0 -0.0846043 -0.0813503 -0.264258 0 0 0 
-520 -500 80 0 -0.0945775 -0.0909399 -0.255542 0 0 0 
-520 -500 90 0 -0.103839 -0.0998454 -0.24611 0 0 0 
-520 -500 100 0 -0.112377 -0.108055 -0.236094 0 0 0 
-520 -490 -100 0 0.11995 0.11303 -0.244029 0 0 0 
-520 -490 -90 0 0.110963 0.104561 -0.254819 0 0 0 
-520 -490 -80 0 0.101173 0.0953363 -0.265001 0 0 0 
-520 -490 -70 0 0.0905938 0.0853672 -0.274428 0 0 0 
-520 -490 -60 0 0.0791847 0.0746163 -0.28285 0 0 0 
