# fieldmap
#x y z t Bx By Bz Ex Ey Ez
-520 -520 -100 0 -0.151169 -0.0486838 -0.20658 0 0 0 
-520 -520 -90 0 -0.157483 -0.0568388 -0.201578 0 0 0 
-520 -520 -80 0 -0.163461 -0.0647902 -0.196051 0 0 0 
-520 -520 -70 0 -0.168912 -0.0723317 -0.19002 0 0 0 
-520 -520 -60 0 -0.173997 -0.0796142 -0.183552 0 0 0 
-520 -520 -50 0 -0.178553 -0.086446 -0.176702 0 0 0 
-520 -520 -40 0 -0.182665 -0.0929059 -0.169519 0 0 0 
-520 -520 -30 0 -0.186301 -0.0989379 -0.162065 0 0 0 
-520 -520 -20 0 -0.189428 -0.104482 -0.154416 0 0 0 
-520 -520 -10 0 -0.192133 -0.10963 -0.146594 0 0 0 
-520 -520 0 0 -0.194339 -0.114263 -0.138695 0 0 0 
-520 -520 10 0 -0.196168 -0.118535 -0.130693 0 0 0 
-520 -520 20 0 -0.197551 -0.122324 -0.122699 0 0 0 
-520 -520 30 0 -0.198544 -0.125698 -0.114719 0 0 0 
-520 -520 40 0 -0.199172 -0.128674 -0.106785 0 0 0 
-520 -520 50 0 -0.199418 -0.131201 -0.098981 0 0 0 
-520 -520 60 0 -0.199369 -0.133414 -0.0912338 0 0 0 
-520 -520 70 0 -0.198986 -0.135205 -0.0836851 0 0 0 
-520 -520 80 0 -0.198322 -0.136652 -0.0763039 0 0 0 
-520 -520 90 0 -0.197398 -0.137778 -0.0690996 0 0 0 
-520 -520 100 0 -0.19622 -0.138561 -0.0621338 0 0 0 
-520 -510 -100 0 -0.157191 -0.0474145 -0.215131 0 0 0 
-520 -510 -90 0 -0.163975 -0.056042 -0.209864 0 0 0 
-520 -510 -80 0 -0.170348 -0.0644139 -0.204016 0 0 0 
-520 -510 -70 0 -0.176225 -0.0724297 -0.197631 0 0 0 
-520 -510 -60 0 -0.181582 -0.0800445 -0.190771 0 0 0 
-520 -510 -50 0 -0.186445 -0.0872624 -0.183506 0 0 0 
-520 -510 -40 0 -0.190714 -0.093953 -0.175914 0 0 0 
-520 -510 -30 0 -0.194571 -0.100309 -0.168011 0 0 0 
-520 -510 -20 0 -0.197852 -0.106117 -0.159909 0 0 0 
-520 -510 -10 0 -0.200667 -0.111494 -0.151626 0 0 0 
-520 -510 0 0 -0.202992 -0.116391 -0.143235 0 0 0 
-520 -510 10 0 -0.204826 -0.120783 -0.134805 0 0 0 
-520 -510 20 0 -0.206254 -0.124775 -0.126323 0 0 0 
-520 -510 30 0 -0.207215 -0.128248 -0.117917 0 0 0 
-520 -510 40 0 -0.207798 -0.131317 -0.109563 0 0 0 
-520 -510 50 0 -0.207988 -0.133931 -0.101344 0 0 0 
-520 -510 60 0 -0.20782 -0.136126 -0.0932757 0 0 0 
-520 -510 70 0 -0.207345 -0.137976 -0.0853316 0 0 0 
-520 -510 80 0 -0.206548 -0.139417 -0.0776172 0 0 0 
-520 -510 90 0 -0.205487 -0.140549 -0.070067 0 0 0 
-520 -510 100 0 -0.204167 -0.141344 -0.06275 0 0 0 
-520 -500 -100 0 -0.163465 -0.0459124 -0.224154 0 0 0 
-520 -500 -90 0 -0.170797 -0.0550791 -0.218613 0 0 0 
-520 -500 -80 0 -0.177503 -0.0638064 -0.212412 0 0 0 
-520 -500 -70 0 -0.183809 -0.0722882 -0.205657 0 0 0 
-520 -500 -60 0 -0.189474 -0.0802664 -0.198392 0 0 0 
-520 -500 -50 0 -0.194648 -0.0878747 -0.190685 0 0 0 
-520 -500 -40 0 -0.199232 -0.0949851 -0.182613 0 0 0 
-520 -500 -30 0 -0.203244 -0.101597 -0.174244 0 0 0 
-520 -500 -20 0 -0.206743 -0.107759 -0.165624 0 0 0 
-520 -500 -10 0 -0.209636 -0.113333 -0.156867 0 0 0 
-520 -500 0 0 -0.212079 -0.118503 -0.14795 0 0 0 
-520 -500 10 0 -0.213949 -0.123068 -0.139045 0 0 0 
-520 -500 20 0 -0.215351 -0.127157 -0.130129 0 0 0 
-520 -500 30 0 -0.216309 -0.130782 -0.121247 0 0 0 
-520 -500 40 0 -0.216802 -0.133884 -0.112499 0 0 0 
-520 -500 50 0 -0.216942 -0.136624 -0.103802 0 0 0 
-520 -500 60 0 -0.216677 -0.138882 -0.0953098 0 0 0 
-520 -500 70 0 -0.21607 -0.140742 -0.0869906 0 0 0 
-520 -500 80 0 -0.215149 -0.142233 -0.0788612 0 0 0 
-520 -500 90 0 -0.213919 -0.143322 -0.071003 0 0 0 
-520 -500 100 0 -0.212441 -0.144107 -0.0633524 0 0 0 
-520 -490 -100 0 -0.169919 -0.0440724 -0.23367 0 0 0 
-520 -490 -90 0 -0.17777 -0.0537402 -0.227829 0 0 0 
-520 -490 -80 0 -0.185019 -0.0630204 -0.221284 0 0 0 
-520 -490 -70 0 -0.191703 -0.0719205 -0.214119 0 0 0 
-520 -490 -60 0 -0.197822 -0.0804177 -0.206408 0 0 0 
-520 -490 -50 0 -0.203255 -0.0883636 -0.198232 0 0 0 
-520 -490 -40 0 -0.208185 -0.0959308 -0.189641 0 0 0 
-520 -490 -30 0 -0.212404 -0.102864 -0.180759 0 0 0 
-520 -490 -20 0 -0.216049 -0.109291 -0.171631 0 0 0 
-520 -490 -10 0 -0.219093 -0.11516 -0.162339 0 0 0 
-520 -490 0 0 -0.221545 -0.120453 -0.152958 0 0 0 
-520 -490 10 0 -0.223504 -0.125283 -0.143491 0 0 0 
-520 -490 20 0 -0.224894 -0.129514 -0.134081 0 0 0 
-520 -490 30 0 -0.22583 -0.133291 -0.124688 0 0 0 
-520 -490 40 0 -0.226291 -0.136549 -0.115417 0 0 0 
-520 -490 50 0 -0.226304 -0.139305 -0.106314 0 0 0 
-520 -490 60 0 -0.225947 -0.141661 -0.0973385 0 0 0 
-520 -490 70 0 -0.225194 -0.143517 -0.0886521 0 0 0 
-520 -490 80 0 -0.224118 -0.144997 -0.0801654 0 0 0 
-520 -490 90 0 -0.222735 -0.1461 -0.0719278 0 0 0 
-520 -490 100 0 -0.221063 -0.146814 -0.0639997 0 0 0 
-520 -480 -100 0 -0.176684 -0.041984 -0.243745 0 0 0 
-520 -480 -90 0 -0.185033 -0.0521337 -0.23756 0 0 0 
-520 -480 -80 0 -0.192898 -0.0620279 -0.230649 0 0 0 
-520 -480 -70 0 -0.200018 -0.0714016 -0.223046 0 0 0 
-520 -480 -60 0 -0.206557 -0.080379 -0.214859 0 0 0 
-520 -480 -50 0 -0.212355 -0.088773 -0.206176 0 0 0 
-520 -480 -40 0 -0.217486 -0.0966324 -0.197078 0 0 0 
-520 -480 -30 0 -0.221992 -0.103979 -0.187634 0 0 0 
-520 -480 -20 0 -0.225763 -0.110659 -0.177971 0 0 0 
-520 -480 -10 0 -0.228997 -0.116885 -0.168078 0 0 0 
-520 -480 0 0 -0.231552 -0.122451 -0.158117 0 0 0 
-520 -480 10 0 -0.233526 -0.127459 -0.148108 0 0 0 
-520 -480 20 0 -0.234955 -0.13193 -0.138105 0 0 0 
-520 -480 30 0 -0.235805 -0.135769 -0.128246 0 0 0 
-520 -480 40 0 -0.236209 -0.139155 -0.11846 0 0 0 
-520 -480 50 0 -0.236125 -0.141988 -0.108885 0 0 0 
-520 -480 60 0 -0.235617 -0.14434 -0.0995169 0 0 0 
-520 -480 70 0 -0.234737 -0.146277 -0.0903425 0 0 0 
-520 -480 80 0 -0.233481 -0.147743 -0.0814755 0 0 0 
-520 -480 90 0 -0.231916 -0.148847 -0.0728407 0 0 0 
-520 -480 100 0 -0.230055 -0.149573 -0.0645077 0 0 0 
-520 -470 -100 0 -0.183717 -0.0395709 -0.254401 0 0 0 
-520 -470 -90 0 -0.192675 -0.0502929 -0.247872 0 0 0 
-520 -470 -80 0 -0.201022 -0.0606702 -0.240543 0 0 0 
-520 -470 -70 0 -0.208691 -0.070616 -0.23249 0 0 0 
-520 -470 -60 0 -0.215572 -0.0799926 -0.223802 0 0 0 
-520 -470 -50 0 -0.221848 -0.088953 -0.214564 0 0 0 
-520 -470 -40 0 -0.227285 -0.0972289 -0.204894 0 0 0 
-520 -470 -30 0 -0.23206 -0.104981 -0.194848 0 0 0 
-520 -470 -20 0 -0.236096 -0.112091 -0.184542 0 0 0 
-520 -470 -10 0 -0.239396 -0.118533 -0.174076 0 0 0 
-520 -470 0 0 -0.242075 -0.124409 -0.163487 0 0 0 
-520 -470 10 0 -0.244047 -0.129576 -0.152932 0 0 0 
-520 -470 20 0 -0.245456 -0.134202 -0.142378 0 0 0 
-520 -470 30 0 -0.24629 -0.138236 -0.131928 0 0 0 
-520 -470 40 0 -0.246565 -0.141661 -0.12167 0 0 0 
-520 -470 50 0 -0.2464 -0.144642 -0.111522 0 0 0 
-520 -470 60 0 -0.245751 -0.147056 -0.10166 0 0 0 
-520 -470 70 0 -0.244692 -0.149002 -0.0920489 0 0 0 
-520 -470 80 0 -0.243266 -0.150523 -0.0826956 0 0 0 
-520 -470 90 0 -0.241487 -0.151574 -0.0737192 0 0 0 
-520 -470 100 0 -0.239417 -0.152268 -0.0650312 0 0 0 
-520 -460 -100 0 -0.190777 -0.0365921 -0.265617 0 0 0 
-520 -460 -90 0 -0.200535 -0.0480331 -0.258772 0 0 0 
-520 -460 -80 0 -0.209442 -0.0589618 -0.251005 0 0 0 
-520 -460 -70 0 -0.217743 -0.0695539 -0.242467 0 0 0 
-520 -460 -60 0 -0.225172 -0.0795354 -0.23323 0 0 0 
-520 -460 -50 0 -0.231805 -0.0889445 -0.223404 0 0 0 
-520 -460 -40 0 -0.237675 -0.0977799 -0.213089 0 0 0 
-520 -460 -30 0 -0.242603 -0.105805 -0.202454 0 0 0 
-520 -460 -20 0 -0.246877 -0.113313 -0.191495 0 0 0 
