# fieldmap
#x y z t Bx By Bz Ex Ey Ez
-520 -520 -100 0 -0.0742313 0.103877 -0.227571 0 0 0 
-520 -520 -90 0 -0.0839412 0.0951649 -0.230279 0 0 0 
-520 -520 -80 0 -0.0936487 0.0860691 -0.23216 0 0 0 
-520 -520 -70 0 -0.103282 0.0766545 -0.233187 0 0 0 
-520 -520 -60 0 -0.112768 0.0669904 -0.233345 0 0 0 
-520 -520 -50 0 -0.122039 0.0571495 -0.232629 0 0 0 
-520 -520 -40 0 -0.131053 0.0472029 -0.231081 0 0 0 
-520 -520 -30 0 -0.139786 0.0372094 -0.228749 0 0 0 
-520 -520 -20 0 -0.148123 0.0272457 -0.225587 0 0 0 
-520 -520 -10 0 -0.155973 0.0174 -0.221607 0 0 0 
-520 -520 0 0 -0.163309 0.00773996 -0.216882 0 0 0 
-520 -520 10 0 -0.170114 -0.00167773 -0.211483 0 0 0 
-520 -520 20 0 -0.176361 -0.0107969 -0.205475 0 0 0 
-520 -520 30 0 -0.18208 -0.0195979 -0.198945 0 0 0 
-520 -520 40 0 -0.187241 -0.0280337 -0.191946 0 0 0 
-520 -520 50 0 -0.191803 -0.0360465 -0.184531 0 0 0 
-520 -520 60 0 -0.195769 -0.0436071 -0.176771 0 0 0 
-520 -520 70 0 -0.199147 -0.0506938 -0.168737 0 0 0 
-520 -520 80 0 -0.201931 -0.0572729 -0.160499 0 0 0 
-520 -520 90 0 -0.204141 -0.063333 -0.152125 0 0 0 
-520 -520 100 0 -0.205825 -0.0688958 -0.143675 0 0 0 
-520 -510 -100 0 -0.0727089 0.11295 -0.23621 0 0 0 
-520 -510 -90 0 -0.0830977 0.103917 -0.239318 0 0 0 
-520 -510 -80 0 -0.0935401 0.0944737 -0.241615 0 0 0 
-520 -510 -70 0 -0.103931 0.0846554 -0.242993 0 0 0 
-520 -510 -60 0 -0.114189 0.0745363 -0.243428 0 0 0 
-520 -510 -50 0 -0.124197 0.0641944 -0.242864 0 0 0 
